"total_rewards","action_rewards","opinion_rewards"
21910,10204,11706
23948,12308,11640
24524,12556,11968
23548,11660,11888
23768,11818,11950
23373,11527,11846
22453,10883,11570
22867,11060,11807
22933,11165,11768
22828,11074,11754
20652,9256,11396
22415,10691,11724
22094,10386,11708
23307,11477,11830
23896,11923,11973
23708,12052,11656
23508,11683,11825
23189,11612,11577
22654,10867,11787
23990,12095,11895
23495,11609,11886
23966,12003,11963
23041,11337,11704
23445,11732,11713
23822,12048,11774
23649,11659,11990
24134,12237,11897
22309,10748,11561
22585,10941,11644
21996,10400,11596
23672,11755,11917
22147,10430,11717
23580,11515,12065
22101,10453,11648
23020,11563,11457
21093,9732,11361
23886,11955,11931
23109,11604,11505
22196,10481,11715
23605,11951,11654
23583,11665,11918
24888,12948,11940
23013,11219,11794
22252,10629,11623
23238,11344,11894
24293,12319,11974
24217,12538,11679
22550,10866,11684
22613,10761,11852
23983,12081,11902
23922,11934,11988
24319,12274,12045
24183,12403,11780
23793,12172,11621
24226,12187,12039
22214,10518,11696
23276,11573,11703
23609,11636,11973
23463,11587,11876
23698,11723,11975
23920,11994,11926
24176,12317,11859
23438,11558,11880
23052,11245,11807
21410,9874,11536
24215,12188,12027
22909,11017,11892
21945,10354,11591
23356,11539,11817
24431,12386,12045
21957,10210,11747
24364,12359,12005
24299,12614,11685
22598,11015,11583
21720,10091,11629
21357,9757,11600
23437,11616,11821
20925,9623,11302
20070,8802,11268
23137,11218,11919
25014,13099,11915
22002,10581,11421
24577,12883,11694
