"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
46568,35198,11370,-1.87186288914897,-3.65870951793411
47131,35442,11689,-1.88476432548328,-3.54722804535519
47499,35646,11853,-1.89979637414217,-3.50283534770662
47979,35873,12106,-1.91095431812785,-3.43312047123909
48400,36081,12319,-1.92404410324313,-3.36000481193716
48935,36326,12609,-1.93235307268121,-3.25655850984833
49452,36593,12859,-1.93890114209869,-3.17199470319531
49924,36881,13043,-1.94290617054159,-3.11813191581856
50375,37110,13265,-1.94826091609218,-3.04841858988458
50844,37344,13500,-1.95434138558128,-2.97007558183237
51433,37620,13813,-1.9551956106316,-2.8645561795343
51838,37863,13975,-1.95595604696057,-2.82203743132678
52313,38098,14215,-1.95858638042753,-2.7490310720422
52871,38371,14500,-1.9571260528131,-2.6498777565631
53415,38619,14796,-1.95561779060147,-2.54805493165146
53967,38933,15034,-1.94984080195427,-2.46378053751859
54462,39187,15275,-1.94748778803782,-2.38860097744248
54917,39450,15467,-1.94290124272758,-2.3404242973436
55351,39772,15579,-1.93302142322063,-2.33158505992456
55771,40104,15667,-1.92332016690211,-2.32201562903144
56420,40469,15951,-1.90802273980596,-2.23279914422469
56842,40800,16042,-1.89619279463183,-2.22492047168992
57662,41177,16485,-1.87962590889497,-2.07278889796951
58201,41481,16720,-1.86880461140112,-2.00186211575161
58940,41842,17098,-1.85540741099553,-1.87241327952255
59451,42181,17270,-1.84247837716883,-1.82549455951561
60095,42535,17560,-1.82719787359238,-1.71459209431301
60724,42902,17822,-1.81032043830915,-1.63113706599582
61401,43228,18173,-1.79699954309247,-1.52839363732121
62076,43607,18469,-1.77858691025864,-1.43166189654307
62635,43892,18743,-1.76525881100785,-1.34960903254422
63354,44326,19028,-1.74355948757042,-1.27008946239948
63957,44656,19301,-1.72325742163441,-1.1952469443733
64592,45074,19518,-1.70121273127469,-1.14230189702728
65183,45463,19720,-1.68106516274539,-1.09193903180686
65734,45819,19915,-1.65878915542906,-1.05201950100335
66351,46167,20184,-1.63876750564033,-0.993936461481181
67130,46607,20523,-1.60981411947445,-0.899228269674561
67862,46999,20863,-1.5876509860158,-0.78716806796464
68501,47331,21170,-1.56830460198901,-0.715227388387377
69426,47785,21641,-1.54067006056959,-0.564065292477608
70202,48270,21932,-1.5081344504248,-0.509289525042881
70884,48688,22196,-1.48051392300562,-0.440053768591447
71703,49085,22618,-1.45702867250551,-0.327339565483007
72550,49441,23109,-1.43622916029258,-0.198756477643143
73343,49881,23462,-1.41147520765662,-0.103411803733219
74148,50242,23906,-1.38819764920256,0.0144294829531149
74763,50594,24169,-1.36393127597191,0.0560631433671171
75969,51100,24869,-1.33101017962803,0.258458870242942
76954,51521,25433,-1.3025612977418,0.411602388864214
77750,51937,25813,-1.27544062002139,0.497013492340391
78958,52309,26649,-1.25034026706761,0.746278979290615
79744,52677,27067,-1.22468442632393,0.839186534014615
80660,53134,27526,-1.19540835131298,0.945447398586707
81657,53503,28154,-1.17058597870848,1.08998078934171
82827,53914,28913,-1.14083834723993,1.29236102334478
83643,54255,29388,-1.11533911024982,1.39872704459862
84666,54608,30058,-1.09263932149519,1.57049047134139
85697,54959,30738,-1.07081627446142,1.73818878653375
86634,55316,31318,-1.0455866350369,1.87069878165017
87525,55635,31890,-1.02306438264522,1.99650316536427
88371,55959,32412,-1.00400641933084,2.09890616468408
89354,56295,33059,-0.979226962476969,2.23465907451781
90283,56590,33693,-0.95939337651838,2.37599392892285
91444,56973,34471,-0.933818301219832,2.56914257271723
92305,57302,35003,-0.911926221305674,2.67756593728607
93317,57637,35680,-0.889929801564325,2.80979932370511
94188,57922,36266,-0.867396928505464,2.90804095512087
95023,58282,36741,-0.839980507811362,2.99350848644972
95940,58614,37326,-0.817025129090656,3.08489987308329
96740,58950,37790,-0.792511020973325,3.14682540514252
97397,59246,38151,-0.770432029258121,3.18512481451035
